#N/A,Title,"Recommended
Title ",English,Title,Arabic,Title,Komeyl,Bijan
"بروکر اپو از سه پلتفرم متفاوت پشتیبانی می کند که در هر سه، انواع حسابها به شرح زیردر نظر کرفته شده است:

•	پلتفرم متاتریدر ۴ و ۵ شامل حسابهای زیر:
۱- حساب Standard: فعالسازی با حداقل ۱۰۰ دلار، اسپرد از ۱.۸ پیپ، بدون کمیسیون
۲- حساب ECN: فعالسازی با حداقل ۱۰۰ دلار، اسپرد از ۰.۸ پیپ، کمیسیون ۶ دلار به ازای هر لات معامله
۳- حساب ECN-Pro و Social-Pro: فعالسازی با حداقل ۵۰۰۰ دلار، اسپرد نزدیک به صفر، کمیسیون ۴ دلار به ازای هر لات معامله
۴- حساب Social trade: فعالسازی با حداقل ۲۰۰ دلار، اسپرد از ۱.۵ پیپ، بدون کمیسیون
۵- حساب Black: فعالسازی با حداقل صد هزار  دلار، اسپرد نزدیک به صفر، بدون کمیسیون

•	پلتفرم اپوترید با دسترسی به ابزارهای تریدینگ ویو شامل حسابهای زیر:
۱- حساب Standard: فعالسازی با حداقل ۱۰۰ دلار، اسپرد از ۱.۸ پیپ، بدون کمیسیون
۲- حساب ECN: فعالسازی با حداقل ۱۰۰ دلار، اسپرد از ۰.۸ پیپ، کمیسیون ۶ دلار به ازای هر لات معامله
۳- حساب ECN-Pro: فعالسازی با حداقل ۵۰۰۰ دلار، اسپرد نزدیک به صفر، کمیسیون ۴ دلار به ازای هر لات معامله

•	پلتفرم cTrader شامل حسابهای زیر:
۱- حساب ECN: فعالسازی با حداقل ۲۰۰ دلار، اسپرد از ۱ پیپ، کمیسیون ۶ دلار به ازای هر لات معامله
۲- حساب ECNPlus: فعالسازی با حداقل ۵۰۰۰ دلار، اسپرد نزدیک به صفر، کمیسیون ۴ دلار به ازای هر لات معامله
۳- حساب Copy: فعالسازی با حداقل ۲۰۰ دلار، اسپرد از ۲.۲ پیپ، بدون کمیسیون

در تمامی انواع حسابها سطح Stop-out برابر با ۲۰٪ و سطح Margin-call برابر با ۸۰٪ می‌باشد.",حساب _انواع,حساب- توضیح کامل,"
Opofinance Broker supports three different platforms, each offering the following types of accounts:

• MetaTrader 4 & 5 Platform:
- Standard Account: Minimum activation $100, spread from 1.8 pips, no commission
- ECN Account: Minimum activation $100, spread from 0.8 pips, $6 commission per lot
- ECN-Pro & Social-Pro Accounts: Minimum activation $5,000, near-zero spread, $4 commission per lot
- Social Trade Account: Minimum activation $200, spread from 1.5 pips, no commission
- Black Account: Minimum activation $100,000, near-zero spread, no commission

• Opotrade Platform with TradingView tools:
- Standard Account: Minimum activation $100, spread from 1.8 pips, no commission
- ECN Account: Minimum activation $100, spread from 0.8 pips, $6 commission per lot
- ECN-Pro Account: Minimum activation $5,000, near-zero spread, $4 commission per lot

• cTrader Platform:
- ECN Account: Minimum activation $200, spread from 1 pip, $6 commission per lot
- ECNPlus Account: Minimum activation $5,000, near-zero spread, $4 commission per lot
- Copy Account: Minimum activation $200, spread from 2.2 pips, no commission

For all account types, the Stop-out level is 20% and the Margin-call level is 80%.",Account - Types of Accounts,"يدعم الوسيط الالي أوبو ""opo"" ثلاث منصات مختلفة، مع أنواع الحسابات التالية في كل منها:

• منصة ميتا تريدر MetaTrader 4&5""  4 & 5"":
- الحساب القیاسي (Standard): الحد الأدنى 100 دولار للتفعيل، السبريد من 1.8 نقطة، بدون عمولة
- حساب ECN: الحد الأدنى 100 دولار للتفعيل، السبريد من 0.8 نقطة، عمولة 6 دولارات لكل لوت
- حسابات ECN-Pro و Social-Pro: الحد الأدنى 5000 دولار للتفعيل، سبريد تقريباً صفر، عمولة 4 دولارات لكل لوت
- حساب Social Trade: الحد الأدنى 200 دولار للتفعيل، السبريد من 1.5 نقطة، بدون عمولة
- حساب Black: الحد الأدنى 100,000 دولار للتفعيل، سبريد تقريباً صفر، بدون عمولة

• منصة Opotrade مع أدوات TradingView:
- الحساب القیاسي(Standard): الحد الأدنى 100 دولار للتفعيل، السبريد من 1.8 نقطة، بدون عمولة
- حساب ECN: الحد الأدنى 100 دولار للتفعيل، السبريد من 0.8 نقطة، عمولة 6 دولارات لكل لوت
- حساب ECN-Pro: الحد الأدنى 5000 دولار للتفعيل، سبريد تقريباً صفر، عمولة 4 دولارات لكل لوت

• منصة cTrader:
- حساب ECN: الحد الأدنى 200 دولار للتفعيل، السبريد من 1 نقطة، عمولة 6 دولارات لكل لوت
- حساب ECNPlus: الحد الأدنى 5000 دولار للتفعيل، سبريد شبه صفر، عمولة 4 دولارات لكل لوت
- حساب Copy: الحد الأدنى 200 دولار للتفعيل، السبريد من 2.2 نقطة، بدون عمولة

في جميع أنواع الحسابات، مستوى إغلاق الصفقات تلقائياً (Stop-out) هو 20٪ و مستوى نداء الهامش (Margin-call) هو 80٪.",الحساب - أنواع الحسابات,Finalized,Done
"با انتخاب حساب های (های لوریج )، شما دو انتخاب برای لوریج خواهید داشت. 
میتوانید لوریج حسابتون رو 1:1000 یا 1:2000 انتخاب کنید. چنانچه قصد داشته باشید لوریج های پایینتری داشته باشید ، حساب هایی که های لوریج نیستند را انتخاب کنید تا انتخاب لوریج حساب از 1:100 تا 1:500 برای شما در دسترس قرار بگیرد.
توجه داشته باشید که با انتخاب حساب های  (های لوریج ) بر روی تمامی نمادها لوریج یکسان نخواهد بود و در برخی نمادها  با وجود اینکه حساب شما لوریج 1:2000 هم داشته باشد ممکن است لوریج پایینتری دریافت کنید.",های لوریج,حساب- توضیح های لوریج,"
By selecting High-Leverage accounts, you will have two leverage options: 1:1000 or 1:2000.
If you prefer lower leverage, please choose accounts that are not High-Leverage, where leverage options from 1:100 to 1:500 will be available.

Please note that by choosing High-Leverage accounts, the leverage will not be the same across all symbols. In some symbols, even if your account has a leverage of 1:2000, a lower leverage may be applied.",Types of Leverage,"باختيار حسابات (High-Leverage)، سيكون لديك خياران للرافعة المالية: 1:1000 أو 1:2000.
إذا كنت ترغب في رافعة مالية أقل، يُرجى اختيار الحسابات ذات الرافعة المالية العادیّة، التي تُوفر خيارات الرافعة المالية من 1:100 إلى 1:500.

يرجى ملاحظة أنه عند اختيار الحسابات عالية الرافعة، لن تكون الرافعة المالية متساوية على جميع الرموز. في بعض الرموز، حتى إذا كان حسابك يحتوي على رافعة مالية 1:2000، قد يتم تطبيق رافعة أقل.",الحساب -أنواع الرافعة المالية,Finalized,Done
"در این خصوص لطف بفرمایید و درخواست خودتون رومبنی بر حذف حساب معاملاتی خود، با ذکر شماره حساب معاملاتی خود، به ایمیل زیر ارسال بفرمایید:
support@opofinance.com

درخواست شما در طی ۲۴ الی ۴۸ ساعت کاری بررسی و پاسخ از طریق ایمیل برای شما ارسال خواهد شد.",حذف-حساب معاملاتی,حساب- حذف حساب معاملاتی,"
Regarding this matter, please send your request to delete your trading account, including your account number, to the following email:
support@opofinance.com

Your request will be reviewed within 24 to 48 business hours, and the response will be sent to you via email.",Delete Trading Account,"في هذا الشأن، يُرجى إرسال طلبك لحذف حسابك التداولي مع ذكر رقم الحساب إلى البريد الإلكتروني التالي:
support@opofinance.com
سيتم مراجعة طلبك خلال 24 إلى 48 ساعة عمل، وسيتم إرسال الرد إليك عبر البريد الإلكتروني.",الحساب -حذف الحساب التداولي,Finalized,Done
"https://client.opofinance.com/accounts/live-account

لطفا وارد این لینک شوید، به سمت پایین اسکرول نمایید تا بونس اکانت رو پیدا نمایید و روی گزینه ساخت حساب آن کلیک بفرمایید.

در صفحه ای که باز میشود نسخه متاتریدر و لوریج مورد نظرتون رو انتخاب بفرمایید و بر روی گزینه ساخت حساب کلیک نمایید.

حساب برای شما ساخته و بونس به اکوئیتی این حساب اضافه خواهد شد، میتوانید از آن در متاتریدر برای انجام معاملات استفاده بفرمایید.",ساخت حساب-بونس اکانت,حساب- ساخت حساب بونس,"https://client.opofinance.com/accounts/live-account

Please visit this link, scroll down to find the Account Bonus, and click on the Create Account button.

On the page that opens, select your desired MetaTrader version and leverage, then click Create Account.

Your account will be created, and the bonus will be added to the account equity. You can use it in MetaTrader to place trades.",Create Account - Bonus Account,"https://client.opofinance.com/accounts/live-account
يرجى الدخول إلى هذا الرابط، والتمرير للأسفل للعثور على الحساب البونص، ثم الضغط على زر إنشاء الحساب.
في الصفحة التي ستفتح، اختر نسخة MetaTrader والرافعة المالية المطلوبة، ثم اضغط على إنشاء الحساب.
سيتم إنشاء حسابك وسيتم إضافة رصيد المكافأة (البونص) إلى رصيد الحساب(account equity)، ويمكنك استخدامه في MetaTrader لإجراء الصفقات.",الحساب -إنشاء حساب البونص,Finalized,Done
"برای ساخت حساب لایو  بر بستر Ctrader
لطفا وارد پنل کاربری بشید. از منو اکانت روی
Creat Account 
پلتفرم را Ctrader  انتخاب کنید .
بعد از انتخاب حساب مورد نظر روی گزینه Creat Live Account کلیک کنید . 
اهرم یا همان Leverage  حساب را انتخاب کنید .
روی گزینه Create Account کلیک کنید مشخصات حساب را تایید کنید. سپس پسورد اصلی و اینوستر برای شما نمایش داده خواهد شد.
همچنین تمام این اطلاعات برای شما ایمیل هم می شود.",حساب-ساخت حساب لایو سی تریدر,حساب- ساخت حساب لایو سی تریدر,"To create a live account on the cTrader platform:
Please log in to your user panel. From the Accounts menu, click Create Account and select the cTrader platform.
After selecting your desired account, click Create Live Account. Choose your account Leverage, then click Create Account and confirm the account details.
Your main password and investor password will be displayed, and all this information will also be sent to your email.",Account - Create Live cTrader Account,"لإنشاء حساب حقیقي على منصة cTrader:
يرجى تسجيل الدخول إلى حسابك الخاص. من قائمة Accounts، اضغط على Create Account واختر منصة cTrader.
بعد اختيار الحساب المطلوب، اضغط على Create Live Account. اختر الرافعة المالية (Leverage) لحسابك، ثم اضغط على Create Account وقم بتأكيد بيانات الحساب.
سيتم عرض كلمة المرور الرئيسية وكلمة مرور المستثمر، وسيتم أيضًا إرسال جميع هذه المعلومات إلى بريدك الإلكتروني.",الحساب - إنشاء حساب حقیقي سي تريدر,Finalized,Done
"در پنل کاربری وارد شوید و در قسمت 
Accounts
بر روی فلش موجود روبروی هر حساب کلیک کنید تا به جزئیات حساب وارد شوید،
 سپس از قسمت 
setting 
میتونید سواپ را در حساب خودتون حذف یا اضافه بفرمایید.

درخواست شما ثبت و در طی ۲۴ ساعت کاری بررسی خواهد شد

توجه داشته باشید قانون سواپ فری حساب ها فقط تا ۱۴ روز می باشد اگر معامله شما بیش از ۱۴ روز باز باشد سواپ برای تمامی روزهایی که معامله باز مانده است محاسبه خواهد شد

همچنین توجه بفرمایید که حساب های
ECN Pro
Prop
Social Trade Pro
قابلیت سواپ فری شدن را ندارند.

جهت دیدن مراحل بصورت ویدئو میتوانید به لینک زیر مراجعه بفرمایید:
https://www.youtube.com/watch?v=ZKfs0ufawps",سواپ-سواپ فری,حساب- سواپ فری کردن,"
Log in to your user panel and go to Accounts. Click on the arrow next to each account to access account details.
Then, from the Setting section, you can add or remove Swap for your account.

Your request will be registered and reviewed within 24 business hours.

Please note that the Swap-Free rule applies only for 14 days. If your trade remains open for more than 14 days, swap will be calculated for all days the trade stays open.

Also, please note that the following accounts cannot be Swap-Free:

ECN Pro

Prop

Social Trade Pro

To watch the process as a video tutorial, please visit the following link:
https://youtu.be/R1hU4NVIKkI?si=Ci-vjFxoh0L0Hp1o",Swap - Swap Free,"قم بتسجيل الدخول إلى حسابك الخاص واذهب إلى Accounts. اضغط على السهم الموجود بجانب كل حساب للوصول إلى تفاصيل الحساب.
بعد ذلك، من قسم Setting، يمكنك إضافة أو إزالة فوائد التبييت (Swap) من حسابك.
سيتم تسجيل طلبك ومراجعته خلال 24 ساعة عمل.
يرجى ملاحظة أن قاعدة الحسابات بدون رسوم تبييت (Swap-Free) تطبق فقط لمدة 14 يومًا. إذا بقیت صفقاتك مفتوحة لأكثر من 14 يومًا، سيتم احتساب فوائد التبييت لجميع الأيام التي بقيت فيها الصفقة مفتوحة.
كما يرجى ملاحظة أن الحسابات التالية لا يمكن تحويلها إلى حسابات بدون فوائد تبييت (Swap-Free):


ECN Pro
Prop
Social Trade Pro

",الحساب - بدون فوائد تبييت (سواب),Finalized,Done
"برای ساخت حساب دمو بر بستر متاتریدر لطفا وارد پنل کاربری بشید و از منوی
Accounts
بر روی
 Create Account 
کلیک بفرمایید. سپس پلتفرم را 
Metatrader
انتخاب نمایید. در صفحه ای که باز میشود حساب مورد نظر را از بین انواع حساب هایی که برای شما نمایش داده شده است انتخاب بفرمایید و بروی گزینه 
Demo Account 
که برای آن حساب وجود دارد کلیک کنید. 
در ادامه از بین متاتریدر ۴ و ۵ پلتفرم مورد نظرتون را انتخاب نمایید.
سپس در کادر اول میزان لوریج حساب و در کادر دوم میزان موجودی مورد نظرتون را انتخاب نمایید و بر روی گزینه
 Create Account
 کلیک کنید و مشخصات حساب را تایید نمایید. 
در آخر حساب ساخته شده و مشخصات حساب برای شما نمایش داده خواهد شد.
همچنین تمام اطلاعات حساب برای شما از طریق ایمیل هم ارسال می شود.

پس از ساخت حساب، برای دیدن حساب های معاملاتی خود لطفا در پنل کاربری خود لاگین شوید، بر روی گزینه  
Accounts 
و سپس بر روی گزینه 
Accounts overview 
کلیک کنید. در این قسمت میتوانید حساب های معاملاتی خود را مشاهده کنید.",ساخت حساب-ساخت حساب دمو,حساب-ساخت حساب دمو,"
To create a demo account on the MetaTrader platform, please log in to your user panel and click Create Account from the Accounts menu. Then, select the MetaTrader platform.

On the page that opens, choose your desired account from the available account types and click on Demo Account for that account.
Next, select the MetaTrader version (4 or 5) that you want.

In the first field, choose your account Leverage, and in the second field, select your desired balance. Then click Create Account and confirm the account details.
Finally, your account will be created, and the account information will be displayed. All account details will also be sent to your email.

After creating the account, to view your trading accounts, please log in to your user panel, click on Accounts, and then Accounts Overview. Here you can see all your trading accounts.",Create Account - Demo Account,"لإنشاء حساب تجريبي على منصة MetaTrader، يرجى تسجيل الدخول إلى الحساب الخاص بك والنقر على Create Account من قائمة Accounts. ثم اختر منصة MetaTrader.
في الصفحة التي ستفتح، اختر الحساب المطلوب من بين أنواع الحسابات المتاحة واضغط على الحساب التجریبي (Demo Account) لهذا الحساب .
بعد ذلك، اختر نسخة MetaTrader التي ترغب بها (4 أو 5).
في الحقل الأول، اختر الرافعة المالية (Leverage) للحساب، وفي الحقل الثاني اختر الرصيد المطلوب. ثم اضغط على Create Account وقم بتأكيد بيانات الحساب.
بعدها، سيتم إنشاء الحساب وسيتم عرض بيانات الحساب لك، كما سيتم إرسال جميع المعلومات إلى بريدك الإلكتروني.
بعد إنشاء الحساب، لمشاهدة حساباتك التداولية، يرجى تسجيل الدخول إلى حسابك، ثم الضغط على Accounts، وبعدها Accounts Overview. هنا يمكنك عرض جميع حساباتك التداولية.",الحساب -إنشاء حساب تجريبي,Finalized,Done
"برای ساخت حساب لایو بر بستر متاتریدر لطفا وارد پنل کاربری بشید و از منوی
Accounts
بر روی
Create Account
کلیک بفرمایید. سپس پلتفرم را
Metatrader
انتخاب نمایید. در صفحه ای که باز میشود حساب مورد نظر را از بین انواع حساب هایی که برای شما نمایش داده شده است انتخاب بفرمایید و بروی گزینه
Create Live Account
که برای آن حساب وجود دارد کلیک کنید.
در ادامه از بین متاتریدر ۴ و ۵ پلتفرم مورد نظرتون را انتخاب نمایید.
سپس در کادر اول نوع لوریج حساب را که نرمال باشد (۱:۱۰۰ تا ۱:۵۰۰) و یا با لوریج بالا (۱:۱۰۰۰ یا ۱:۲۰۰۰) را انتخاب کنید.
در کادر دوم، میزان لوریج حساب را انتخاب نمایید و بر روی گزینه
Create Account
کلیک کنید و مشخصات حساب را تایید نمایید.
در آخر حساب ساخته شده و مشخصات حساب برای شما نمایش داده خواهد شد.
همچنین تمام اطلاعات حساب برای شما از طریق ایمیل هم ارسال می شود.

پس از ساخت حساب، برای دیدن حساب های معاملاتی خود لطفا در پنل کاربری خود لاگین شوید، بر روی گزینه
Accounts
و سپس بر روی گزینه
Accounts overview
کلیک کنید. در این قسمت میتوانید حساب های معاملاتی خود را مشاهده کنید.",حساب-ساخت حساب لایو,حساب-ساخت حساب لایو,"
To create a live account on the MetaTrader platform, please log in to your user panel and click Create Account from the Accounts menu. Then, select the MetaTrader platform.

On the page that opens, choose your desired account from the available account types and click Create Live Account for that account.
Next, select your preferred MetaTrader version (4 or 5).

In the first field, choose your account Leverage Type: Normal (1:100 to 1:500) or High Leverage (1:1000 or 1:2000).
In the second field, select the Leverage Amount, then click Create Account and confirm the account details.

Finally, your account will be created, and the account information will be displayed. All account details will also be sent to your email.

After creating the account, to view your trading accounts, please log in to your user panel, click Accounts, and then Accounts Overview. Here you can see all your trading accounts.",Account - Create Live Account,"لإنشاء حساب حقیقي على منصة MetaTrader، يُرجى تسجيل الدخول إلى حسابك الخاص والنقر على Create Account من قائمة Accounts. ثم اختر منصة MetaTrader.
في الصفحة التي ستفتح، اختر الحساب المطلوب من بين أنواع الحسابات المتاحة واضغط على Create Live Account لإنشاء هذا الحساب.
بعد ذلك، اختر نسخة MetaTrader التي ترغب بها (4 أو 5).
في الحقل الأول، اختر نوع الرافعة المالية (Leverage Type): عادیّة (1:100 إلى 1:500) أو عالية (1:1000 أو 1:2000).
في الحقل الثاني، اختر مقدار الرافعة المالية (Leverage Amount)، ثم اضغط على Create Account وقم بتأكيد بيانات الحساب.
بعدها، سيتم إنشاء الحساب وسيتم عرض بيانات الحساب لك، كما سيتم إرسال جميع المعلومات إلى بريدك الإلكتروني.
بعد إنشاء الحساب، لمشاهدة حساباتك التداولية، يُرجى تسجيل الدخول إلى لوحة المستخدم، ثم الضغط على Accounts، وبعدها Accounts Overview. هنا يمكنك عرض جميع حساباتك التداولية.",الحساب - إنشاء حساب حقیقي,Finalized,Done
"در معاملات بازار فارکس، هنگامی که سطح مارجین از سطح خاصی که توسط بروکر تعیین شده، پایین‌تر رود، بروکر برای جلوگیری از ضرر بیشتر و بدهکار شدن معامله‌گر به خود، برای بستن معاملات باز اقدام می‌کند.
زمانی که درصد مارجین لول شما در حساب های متاتریدر به ۴۰ درصد و در حساب های سی تریدر به ۲۰ درصد برسد بروکر معاملات شما را به ترتیب از زیان ده ترین خواهد بست و دراصطلاح حساب شما Stop Out می شود.",استاپ-اوت,ساپورت - تعریف استاپ اوت,"
In Forex trading, when your margin level falls below a specific threshold set by the broker, the broker will close open trades to prevent further losses and avoid the trader owing the broker.
When your margin level reaches 40% in MetaTrader accounts and 20% in cTrader accounts, the broker will close your trades starting with the most unprofitable ones. This process is known as Stop Out.",Stop-Out,"في تداول الفوركس، عندما ينخفض مستوى الهامش (Margin Level) إلي أدنى حد معين من قبل الوسيط، يقوم الوسيط بإغلاق الصفقات المفتوحة لتجنب المزيد من الخسائر ومنع تراكم الديون على المتداول.
عندما يصل مستوى الهامش إلى 20٪ في حسابك، يقوم الوسيط بإغلاق صفقاتك بدءًا من الصفقات الأكثر خسارة. تُعرف هذه العملية باسم التصفية الإجبارية Stop Out.",فريق الدعم - التصفية الاجبارية (Stop-Out),Finalized,Done
support@opofinance.com,ایمیل-ساپورت,ساپورت- ایمیل ساپورت,support@opofinance.com,Email - Support,support@opofinance.com,فريق الدعم - البريد الإلكتروني,Finalized,Done
"با توجه به قطعی در سرور های متاتریدر چنانچه در این مدت بر روی معاملات باز خود متضرر شده اید 
 لطفا شماره حساب و شماره تیکت معامله خود را به ایمیل دپارتمان فنی ارسال نمایید تا بررسی لازم انجام و خسارات احتمالی ناشی از قطعی به حساب شما بازگردانده شود.
توجه بفرمایید ارسال یک ایمیل کافی است و بررسی ایمیل ها به زمان نیاز دارد از صبر شما سپاس گزاریم
support@opofinance.com",مشکل-فنی-خسارت,ساپورت- بررسی ضرر مشکل فنی,"
Due to the downtime of MetaTrader servers, if you have incurred losses on your open trades during this period,
please send your account number and trade ticket number to the technical department email so that the necessary review can be conducted and any potential losses caused by the downtime can be refunded to your account.

Please note that sending one email is sufficient, and reviewing emails may take some time. Thank you for your patience.
Email: support@opofinance.com",Technical Issue - Damage,"في حال تعطل خوادم MetaTrader، و تضرر صفقاتك خلال هذه الفترة،
يرجى إرسال رقم الحساب و رقم (ID) الصفقة إلى البريد الإلكتروني الخاص بالقسم الفني حتى يتم إجراء المراجعات اللازمة واسترداد أي خسائر محتملة ناتجة عن التعطل في حسابك.
يرجى ملاحظة أن إرسال بريد إلكتروني واحد يكفي، وقد يستغرق مراجعة الرسائل بعض الوقت. شكرًا لصبركم.
البريد الإلكتروني: support@opofinance.com",فريق الدعم - مشكلة فنية - خسارة,Finalized,Done
"آربیتراژ به معنی کسب سود از تفاوت قیمت یک دارایی بین دو یا چند بازار در زمان مشخص است.
به طور مثال امروز قیمت مس در بورس فلزات لندن با قیمت مس در بورس فلزات شیکاگو یک درصد اختلاف دارد. همین اختلاف قیمت بین دو بازار زمینه کسب سود بدون ریسک را برای معامله گر فراهم می کند.
در کل آربیتراژ به معنی خرید یک دارایی از بازاری ارزان تر و فروختن همان دارایی در بازاری گران تر است.",آربیتراژ,ساپورت- تعریف آربیتراژ,"
Arbitrage refers to earning profit from the price difference of an asset between two or more markets at a specific time.
For example, if today the price of copper in the London Metal Exchange differs by 1% from the price of copper in the Chicago Metal Exchange, this price difference provides an opportunity for a trader to earn a risk-free profit.

In general, arbitrage means buying an asset in a cheaper market and selling the same asset in a more expensive market.",Arbitrage,"يشير مصطلح المراجحة إلى تحقيق الربح من فرق السعر لأصل ما بين سوقين أو أكثر في وقت محدد.
على سبيل المثال، إذا كان سعر النحاس اليوم في بورصة المعادن بلندن يختلف بنسبة 1٪ عن سعر النحاس في بورصة المعادن في شيكاغو، فإن هذا الفرق في السعر يوفر فرصة للمتداول لتحقيق ربح خالٍ من المخاطر.

بشكل عام، المراجحة أو ما يعرف ب (Arbitrage) یعني شراء الأصل من سوق أرخص وبيعه في سوق أغلى.",فريق الدعم - المراجحة,Finalized,Done
"اسپرد در فارکس به معنی اختلاف قیمت بین ASK  و BID می باشد.
ASK قیمت ارایه شده توسط بروکر 
BID قیمت ارایه شده توسط بازار می باشد
بروکر این قیمت را از پرووایدر خود دریافت می کند هرچقدر حجم معاملات و حجم عرضه در بازار بیشتر باشد اسپرد یا تفاوت قیمت آن کمتر و نقدشوندگی آن بیشتر می باشد.",اسپرد-تعریف,ساپورت- تعریف اسپرد,"
Spread in Forex refers to the difference between the ASK and BID prices.

ASK is the price offered by the broker.

BID is the price offered by the market.

The broker receives this price from its provider. The higher the trading volume and market supply, the lower the spread and the higher the liquidity.",Spread - Definition,"يشير مصطلح السبريد أو فرق السعر في الفوركس إلى الفرق بين سعر الشراء وسعر البيع.


سعر الشراء (Ask) هو السعر المقدم من الوسيط.


سعر البيع (BID) هو السعر المقدم من السوق.


يحصل الوسيط على هذا السعر من مزودّي السیولة. كلما زاد حجم التداول وحجم العرض في السوق، كلما قل السبريد  أي فروق الأسعار وزادت السيولة.",فريق الدعم - تعريف السبريد (فرق السعر),Finalized,Done
زمانی که معامله گر در پلتفرم معاملاتی ثبت سفارش می کند ، انتظار دارد این سفارش با قیمتی که انتخاب کرده است انجام شود. اما به دلیل موضوع رایجی به نام لغزش قیمت یا اسلیپیج این انتظار برآورده نشده است و سفارش تنظیم شده در قیمتی متفاوت فعال می شود.عوامل مهم و موثر بر اسلیپیج عمل بازار و نوسانات شدید قیمت است.در این میان بروکر جهت مطابقت دادن معاملات حضور دارد یعنی بهترین قیمت موجود را به خریدار و فروشنده ارایه می دهد. به طور مثال بهترین قیمت موجود ممکن است با ۳ پیپ اختلاف موجود باشد. بروکر تلاش میکند تا معامله را در نزدیک ترین قیمت موجود فعال کند . چنانچه معامله با اختلاف فعال شود ثبت سفارش با اسلیپیج همراه بوده است.,اسلیپیج,ساپورت- تعریف اسلیپیج,"
When a trader places an order on the trading platform, they expect it to be executed at the price they selected. However, due to a common phenomenon called slippage, this expectation may not be met, and the order is executed at a different price.

The main factors affecting slippage are market action and high price volatility. In this process, the broker plays a role in matching trades, providing the best available price to both the buyer and the seller.

For example, the best available price may differ by 3 pips. The broker attempts to execute the trade at the closest available price. If the trade is executed at a different price, the order is considered to have experienced slippage",Slippage,"عندما يقوم المتداول بوضع أمر (شراء أو بیع) على منصة التداول، يتوقع أن يتم تنفيذه بالسعر الذي حدده. ومع ذلك، بسبب ظاهرة شائعة تُسمى Slippage (الانزلاق السعري)، قد لا يتم تلبية هذا التوقع، ويتم تنفيذ الأمر بسعر مختلف.

العوامل الرئيسية التي تؤثر على الانزلاق السعري هي حركة السوق و تقلب الأسعار الشديد. في هذه العملية، يلعب الوسيط دورًا في مطابقة الصفقات، حيث يقدم أفضل سعر متاح لكل من المشتري والبائع.

على سبيل المثال، قد يختلف أفضل سعر متاح بمقدار 3 نقاط (pips). يحاول الوسيط تنفيذ الصفقة بأقرب سعر متاح، وإذا تم تنفيذ الصفقة بسعر مختلف، يُعتبر قد شهد الإنزلاق السعري (Slippage).",فريق الدعم - الانزلاق السعري,Finalized,Done
"بیانگر حجم معامله است وقتی شما معامله ای باز میکنید باید مقدار حجم را نیز وارد بفرمایید
معامله گران جهت مدیریت ریسک، پوزیشن سایز را به وسیله ماشین حساب های مخصوص فارکس محاسبه میکنند",پوزیشن سایز,ساپورت- تعریف پوزیشن سایز,"
It indicates the trade volume. When you open a trade, you must also enter the trade volume.
Traders calculate position size using specialized Forex calculators to manage risk effectively.",Position Size,"يشير إلى حجم الصفقة. عند فتح صفقة، يجب عليك إدخال حجم الصفقة أيضًا.
يقوم المتداولون بحساب حجم المركز (Position Size) باستخدام حاسبات فوركس المتخصصة لإدارة المخاطر بشكل فعال.",فريق الدعم - حجم المركز (position size),Finalized,Done
